distinct_routes_count = data['Route'].nunique(),Departing Port,Arriving Port,Airline,Year,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed
Brisbane-Hamilton Island,Brisbane,Hamilton Island,Virgin Australia,2016,2,341,336,24,29
Brisbane-Hobart,Brisbane,Hobart,Jetstar,2016,0,317,318,20,19
Brisbane-Hobart,Brisbane,Hobart,Qantas,2016,0,6,6,0,0
Brisbane-Hobart,Brisbane,Hobart,Virgin Australia,2016,0,343,343,27,27
Brisbane-Mackay,Brisbane,Mackay,Jetstar,2016,1,386,411,161,136
Brisbane-Mackay,Brisbane,Mackay,QantasLink,2016,27,1119,1113,135,141
Brisbane-Mackay,Brisbane,Mackay,Virgin Australia,2016,17,1601,1609,175,167
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2016,55,1086,1153,350,283
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2016,29,4519,4331,529,717
Brisbane-Melbourne,Brisbane,Melbourne,Tigerair Australia,2016,16,1214,1200,251,265
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2016,143,4085,3729,467,823
Brisbane-Moranbah,Brisbane,Moranbah,QantasLink,2016,115,1047,1040,102,109
Brisbane-Moranbah,Brisbane,Moranbah,Virgin Australia,2016,10,676,663,80,93
Brisbane-Mount Isa,Brisbane,Mount Isa,Qantas,2016,1,280,275,6,11
Brisbane-Mount Isa,Brisbane,Mount Isa,QantasLink,2016,5,339,343,37,33
Brisbane-Mount Isa,Brisbane,Mount Isa,Virgin Australia,2016,0,216,214,8,10
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,2016,16,777,795,223,205
Brisbane-Newcastle,Brisbane,Newcastle,QantasLink,2016,23,985,981,125,129
Brisbane-Newcastle,Brisbane,Newcastle,Virgin Australia,2016,9,954,954,100,100
Brisbane-Perth,Brisbane,Perth,Qantas,2016,1,1371,1339,205,237
Brisbane-Perth,Brisbane,Perth,Virgin Australia,2016,3,1109,1032,206,283
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,2016,0,254,281,96,69
Brisbane-Proserpine,Brisbane,Proserpine,Virgin Australia,2016,1,413,414,26,25
Brisbane-Rockhampton,Brisbane,Rockhampton,QantasLink,2016,22,1940,1923,267,284
Brisbane-Rockhampton,Brisbane,Rockhampton,Virgin Australia,2016,51,1921,1914,236,243
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2016,99,1463,1521,556,498
Brisbane-Sydney,Brisbane,Sydney,Qantas,2016,77,6596,6453,661,804
Brisbane-Sydney,Brisbane,Sydney,Tigerair Australia,2016,17,1005,1002,192,195
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2016,176,5778,5674,565,669
Brisbane-Townsville,Brisbane,Townsville,Jetstar,2016,3,435,429,95,101
Brisbane-Townsville,Brisbane,Townsville,Qantas,2016,1,1207,1231,137,113
Brisbane-Townsville,Brisbane,Townsville,QantasLink,2016,6,332,330,52,54
Brisbane-Townsville,Brisbane,Townsville,Virgin Australia,2016,17,1567,1585,163,145
Broome-Perth,Broome,Perth,Qantas,2016,1,198,201,37,34
Broome-Perth,Broome,Perth,QantasLink,2016,7,655,672,86,69
Broome-Perth,Broome,Perth,Virgin Australia,2016,1,61,63,9,7
Broome-Perth,Broome,Perth,Virgin Australia Regional Airlines,2016,3,446,416,157,187
Bundaberg-Brisbane,Bundaberg,Brisbane,QantasLink,2016,7,1430,1412,150,168
Bundaberg-Brisbane,Bundaberg,Brisbane,Virgin Australia,2016,1,314,321,52,45
Cairns-Brisbane,Cairns,Brisbane,Jetstar,2016,22,1041,1068,215,188
Cairns-Brisbane,Cairns,Brisbane,Qantas,2016,0,1348,1329,92,111
Cairns-Brisbane,Cairns,Brisbane,QantasLink,2016,2,56,55,15,16
Cairns-Brisbane,Cairns,Brisbane,Tigerair Australia,2016,0,315,309,43,49
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,2016,0,1497,1484,133,146
Cairns-Melbourne,Cairns,Melbourne,Jetstar,2016,7,857,847,338,348
Cairns-Melbourne,Cairns,Melbourne,Qantas,2016,0,389,362,102,129
Cairns-Melbourne,Cairns,Melbourne,Tigerair Australia,2016,2,371,367,95,99
Cairns-Melbourne,Cairns,Melbourne,Virgin Australia,2016,0,319,297,76,98
Cairns-Sydney,Cairns,Sydney,Jetstar,2016,21,1016,1017,192,191
Cairns-Sydney,Cairns,Sydney,Qantas,2016,2,784,810,154,128
Cairns-Sydney,Cairns,Sydney,Tigerair Australia,2016,0,419,413,80,86
Cairns-Sydney,Cairns,Sydney,Virgin Australia,2016,2,968,983,118,103
Cairns-Townsville,Cairns,Townsville,QantasLink,2016,22,1553,1552,124,125
Cairns-Townsville,Cairns,Townsville,Regional Express,2016,10,647,648,16,15
Canberra-Adelaide,Canberra,Adelaide,Qantas,2016,0,495,498,42,39
Canberra-Adelaide,Canberra,Adelaide,Virgin Australia,2016,4,275,268,35,42
Canberra-Brisbane,Canberra,Brisbane,Qantas,2016,0,374,375,16,15
Canberra-Brisbane,Canberra,Brisbane,QantasLink,2016,22,1176,1172,199,203
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,2016,4,1038,1021,96,113
Canberra-Melbourne,Canberra,Melbourne,Qantas,2016,17,2153,2111,193,235
Canberra-Melbourne,Canberra,Melbourne,QantasLink,2016,33,756,744,168,180
Canberra-Melbourne,Canberra,Melbourne,Tigerair Australia,2016,0,7,8,17,16
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,2016,54,1831,1757,260,334
Canberra-Sydney,Canberra,Sydney,Qantas,2016,1,53,54,6,5
Canberra-Sydney,Canberra,Sydney,QantasLink,2016,274,4432,4481,788,739
Canberra-Sydney,Canberra,Sydney,Virgin Australia,2016,150,2759,2767,392,384
Coffs Harbour-Sydney,Coffs Harbour,Sydney,QantasLink,2016,33,1421,1406,362,377
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Tigerair Australia,2016,1,142,140,15,17
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Virgin Australia,2016,8,628,630,77,75
Darwin-Alice Springs,Darwin,Alice Springs,QantasLink,2016,5,607,599,32,40
Darwin-Alice Springs,Darwin,Alice Springs,Virgin Australia,2016,1,149,144,7,12
Darwin-Brisbane,Darwin,Brisbane,Jetstar,2016,2,240,261,58,37
Darwin-Brisbane,Darwin,Brisbane,Qantas,2016,0,499,515,60,44
Darwin-Brisbane,Darwin,Brisbane,Tigerair Australia,2016,1,242,238,15,19
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,2016,1,319,289,49,79
Darwin-Melbourne,Darwin,Melbourne,Jetstar,2016,3,207,245,123,85
Darwin-Melbourne,Darwin,Melbourne,Qantas,2016,0,329,334,58,53
Darwin-Melbourne,Darwin,Melbourne,Virgin Australia,2016,2,311,304,55,62
Darwin-Perth,Darwin,Perth,Qantas,2016,0,409,414,27,22
Darwin-Perth,Darwin,Perth,Virgin Australia,2016,0,326,325,42,43
Darwin-Sydney,Darwin,Sydney,Jetstar,2016,5,234,254,68,48
Darwin-Sydney,Darwin,Sydney,Qantas,2016,0,474,498,118,94
Darwin-Sydney,Darwin,Sydney,Virgin Australia,2016,0,295,291,71,75
Dubbo-Sydney,Dubbo,Sydney,QantasLink,2016,29,1145,1133,320,332
Dubbo-Sydney,Dubbo,Sydney,Regional Express,2016,20,1515,1446,205,274
Emerald-Brisbane,Emerald,Brisbane,QantasLink,2016,49,1349,1365,212,196
Emerald-Brisbane,Emerald,Brisbane,Virgin Australia,2016,3,805,803,46,48
Geraldton-Perth,Geraldton,Perth,QantasLink,2016,2,509,514,52,47
Geraldton-Perth,Geraldton,Perth,Virgin Australia Regional Airlines,2016,6,597,597,79,79
Gladstone-Brisbane,Gladstone,Brisbane,QantasLink,2016,76,1846,1885,274,235
Gladstone-Brisbane,Gladstone,Brisbane,Virgin Australia,2016,44,1310,1303,139,146
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,2016,3,367,353,54,68
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,2016,1,336,313,37,60
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,2016,38,1700,1840,649,509
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,2016,0,289,286,87,90
Gold Coast-Melbourne,Gold Coast,Melbourne,Tigerair Australia,2016,10,816,818,185,183
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,2016,20,1812,1833,399,378
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,2016,61,2684,2806,810,688
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,2016,1,1012,1021,119,110
Gold Coast-Sydney,Gold Coast,Sydney,QantasLink,2016,6,110,108,47,49
Gold Coast-Sydney,Gold Coast,Sydney,Tigerair Australia,2016,14,1056,1080,294,270
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,2016,49,2596,2609,435,422
Hamilton Island-Brisbane,Hamilton Island,Brisbane,QantasLink,2016,6,304,316,62,50
Hamilton Island-Brisbane,Hamilton Island,Brisbane,Virgin Australia,2016,2,327,332,38,33
Hamilton Island-Melbourne,Hamilton Island,Melbourne,Qantas,2016,0,142,147,26,21
Hamilton Island-Melbourne,Hamilton Island,Melbourne,Virgin Australia,2016,2,229,229,30,30
Hamilton Island-Sydney,Hamilton Island,Sydney,Jetstar,2016,0,177,210,141,108
Hamilton Island-Sydney,Hamilton Island,Sydney,Qantas,2016,1,125,144,53,34
Hamilton Island-Sydney,Hamilton Island,Sydney,QantasLink,2016,0,85,85,37,37
Hamilton Island-Sydney,Hamilton Island,Sydney,Virgin Australia,2016,3,294,312,73,55
Hobart-Brisbane,Hobart,Brisbane,Jetstar,2016,0,290,305,43,28
Hobart-Brisbane,Hobart,Brisbane,Qantas,2016,0,4,6,2,0
Hobart-Brisbane,Hobart,Brisbane,Virgin Australia,2016,0,304,314,66,56
Hobart-Melbourne,Hobart,Melbourne,Jetstar,2016,30,1285,1323,858,820
Hobart-Melbourne,Hobart,Melbourne,Qantas,2016,0,27,27,8,8
Hobart-Melbourne,Hobart,Melbourne,QantasLink,2016,27,1320,1227,272,365
Hobart-Melbourne,Hobart,Melbourne,Tigerair Australia,2016,0,311,310,82,83
Hobart-Melbourne,Hobart,Melbourne,Virgin Australia,2016,12,1434,1366,273,341
Hobart-Sydney,Hobart,Sydney,Jetstar,2016,9,651,684,326,293
Hobart-Sydney,Hobart,Sydney,Qantas,2016,0,8,8,0,0
Hobart-Sydney,Hobart,Sydney,QantasLink,2016,9,554,533,69,90
Hobart-Sydney,Hobart,Sydney,Virgin Australia,2016,6,630,631,110,109
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,2016,2,56,56,7,7
Kalgoorlie-Perth,Kalgoorlie,Perth,QantasLink,2016,5,789,801,105,93
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia,2016,4,342,347,31,26
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia Regional Airlines,2016,2,321,317,30,34
Karratha-Perth,Karratha,Perth,Qantas,2016,19,420,421,21,20
Karratha-Perth,Karratha,Perth,QantasLink,2016,67,1768,1769,152,151
Karratha-Perth,Karratha,Perth,Virgin Australia,2016,2,158,159,18,17
Karratha-Perth,Karratha,Perth,Virgin Australia Regional Airlines,2016,23,626,591,114,149
Launceston-Melbourne,Launceston,Melbourne,Jetstar,2016,20,1037,1061,524,500
Launceston-Melbourne,Launceston,Melbourne,QantasLink,2016,68,1100,1092,248,256
Launceston-Melbourne,Launceston,Melbourne,Virgin Australia,2016,3,1012,963,126,175
Launceston-Sydney,Launceston,Sydney,Jetstar,2016,6,397,412,210,195
Launceston-Sydney,Launceston,Sydney,Virgin Australia,2016,0,317,318,51,50
Mackay-Brisbane,Mackay,Brisbane,Jetstar,2016,3,361,393,182,150
Mackay-Brisbane,Mackay,Brisbane,QantasLink,2016,28,1065,1080,189,174
Mackay-Brisbane,Mackay,Brisbane,Virgin Australia,2016,19,1630,1631,146,145
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,2016,26,820,758,462,524
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,2016,13,2950,2892,400,458
Melbourne-Adelaide,Melbourne,Adelaide,Tigerair Australia,2016,10,805,783,101,123
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,2016,48,2935,2842,373,466
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,2016,46,976,1036,468,408
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,2016,37,4437,4395,612,654
Melbourne-Brisbane,Melbourne,Brisbane,Tigerair Australia,2016,16,1223,1208,244,259
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,2016,143,4032,3923,490,599
Melbourne-Cairns,Melbourne,Cairns,Jetstar,2016,3,757,812,440,385
Melbourne-Cairns,Melbourne,Cairns,Qantas,2016,0,416,426,75,65
Melbourne-Cairns,Melbourne,Cairns,Tigerair Australia,2016,0,418,400,52,70
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,2016,0,350,334,45,61
Melbourne-Canberra,Melbourne,Canberra,Qantas,2016,16,2111,2116,237,232
Melbourne-Canberra,Melbourne,Canberra,QantasLink,2016,47,720,701,191,210
Melbourne-Canberra,Melbourne,Canberra,Tigerair Australia,2016,0,17,16,7,8
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,2016,54,1849,1819,238,268
Melbourne-Darwin,Melbourne,Darwin,Jetstar,2016,1,260,267,73,66
Melbourne-Darwin,Melbourne,Darwin,Qantas,2016,0,358,351,29,36
Melbourne-Darwin,Melbourne,Darwin,Virgin Australia,2016,0,289,272,79,96
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,2016,30,1704,1708,656,652
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,2016,0,312,306,64,70
Melbourne-Gold Coast,Melbourne,Gold Coast,Tigerair Australia,2016,8,900,886,101,115
Melbourne-Gold Coast,Melbourne,Gold Coast,Virgin Australia,2016,18,1922,1883,296,335
Melbourne-Hamilton Island,Melbourne,Hamilton Island,Qantas,2016,0,153,162,15,6
Melbourne-Hamilton Island,Melbourne,Hamilton Island,Virgin Australia,2016,2,237,240,22,19
Melbourne-Hobart,Melbourne,Hobart,Jetstar,2016,22,1531,1536,622,617
Melbourne-Hobart,Melbourne,Hobart,Qantas,2016,0,34,33,1,2
Melbourne-Hobart,Melbourne,Hobart,QantasLink,2016,30,1339,1306,250,283
Melbourne-Hobart,Melbourne,Hobart,Tigerair Australia,2016,0,337,334,56,59
Melbourne-Hobart,Melbourne,Hobart,Virgin Australia,2016,12,1516,1483,191,224
Melbourne-Launceston,Melbourne,Launceston,Jetstar,2016,19,1149,1161,416,404
Melbourne-Launceston,Melbourne,Launceston,QantasLink,2016,65,1132,1086,220,266
Melbourne-Launceston,Melbourne,Launceston,Virgin Australia,2016,2,1018,984,121,155
Melbourne-Mildura,Melbourne,Mildura,QantasLink,2016,12,928,915,186,199
Melbourne-Mildura,Melbourne,Mildura,Regional Express,2016,1,840,790,118,168
Melbourne-Mildura,Melbourne,Mildura,Virgin Australia,2016,0,326,303,39,62
Melbourne-Newcastle,Melbourne,Newcastle,Jetstar,2016,13,860,907,371,324
Melbourne-Newcastle,Melbourne,Newcastle,Virgin Australia,2016,2,334,319,39,54
Melbourne-Perth,Melbourne,Perth,Jetstar,2016,74,569,577,146,138
Melbourne-Perth,Melbourne,Perth,Qantas,2016,4,1883,1778,466,571
Melbourne-Perth,Melbourne,Perth,Tigerair Australia,2016,6,587,557,88,118
Melbourne-Perth,Melbourne,Perth,Virgin Australia,2016,4,1404,1342,289,351
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Jetstar,2016,9,764,803,226,187
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,QantasLink,2016,0,6,5,3,4
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Virgin Australia,2016,2,408,393,66,81
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2016,184,2824,2881,1337,1280
Melbourne-Sydney,Melbourne,Sydney,Qantas,2016,469,9393,9223,1713,1883
Melbourne-Sydney,Melbourne,Sydney,Tigerair Australia,2016,44,2153,2118,632,667
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2016,439,7953,7738,972,1187
Mildura-Melbourne,Mildura,Melbourne,QantasLink,2016,13,951,943,162,170
Mildura-Melbourne,Mildura,Melbourne,Regional Express,2016,4,759,721,196,234
Mildura-Melbourne,Mildura,Melbourne,Virgin Australia,2016,1,303,308,62,57
Moranbah-Brisbane,Moranbah,Brisbane,QantasLink,2016,110,1000,997,107,110
Moranbah-Brisbane,Moranbah,Brisbane,Virgin Australia,2016,12,689,685,64,68
Mount Isa-Brisbane,Mount Isa,Brisbane,Qantas,2016,1,272,280,14,6
Mount Isa-Brisbane,Mount Isa,Brisbane,QantasLink,2016,9,342,333,31,40
Mount Isa-Brisbane,Mount Isa,Brisbane,Virgin Australia,2016,0,207,207,19,19
Newcastle-Brisbane,Newcastle,Brisbane,Jetstar,2016,16,810,776,190,224
Newcastle-Brisbane,Newcastle,Brisbane,QantasLink,2016,27,981,1010,125,96
Newcastle-Brisbane,Newcastle,Brisbane,Virgin Australia,2016,13,951,954,101,98
Newcastle-Melbourne,Newcastle,Melbourne,Jetstar,2016,17,900,886,328,342
Newcastle-Melbourne,Newcastle,Melbourne,Virgin Australia,2016,3,298,276,75,97
Newman-Perth,Newman,Perth,Qantas,2016,10,810,803,38,45
Newman-Perth,Newman,Perth,QantasLink,2016,22,784,788,67,63
Newman-Perth,Newman,Perth,Virgin Australia,2016,2,184,178,11,17
Newman-Perth,Newman,Perth,Virgin Australia Regional Airlines,2016,3,231,222,29,38
Perth-Adelaide,Perth,Adelaide,Jetstar,2016,9,250,271,101,80
Perth-Adelaide,Perth,Adelaide,Qantas,2016,4,1318,1341,98,75
Perth-Adelaide,Perth,Adelaide,QantasLink,2016,0,12,12,1,1
Perth-Adelaide,Perth,Adelaide,Virgin Australia,2016,7,818,825,76,69
Perth-Brisbane,Perth,Brisbane,Qantas,2016,1,1412,1398,151,165
Perth-Brisbane,Perth,Brisbane,Virgin Australia,2016,1,1200,1190,120,130
Perth-Broome,Perth,Broome,Qantas,2016,1,208,210,27,25
Perth-Broome,Perth,Broome,QantasLink,2016,7,679,690,63,52
Perth-Broome,Perth,Broome,Virgin Australia,2016,0,67,66,4,5
Perth-Broome,Perth,Broome,Virgin Australia Regional Airlines,2016,0,526,486,79,119
Perth-Darwin,Perth,Darwin,Qantas,2016,0,408,411,28,25
Perth-Darwin,Perth,Darwin,Virgin Australia,2016,0,338,337,30,31
Perth-Geraldton,Perth,Geraldton,QantasLink,2016,1,504,508,58,54
Perth-Geraldton,Perth,Geraldton,Virgin Australia Regional Airlines,2016,3,596,594,74,76
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,2016,2,57,57,5,5
Perth-Kalgoorlie,Perth,Kalgoorlie,QantasLink,2016,5,784,795,112,101
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia,2016,3,356,357,18,17
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia Regional Airlines,2016,2,319,308,32,43
Perth-Karratha,Perth,Karratha,Qantas,2016,14,423,421,23,25
Perth-Karratha,Perth,Karratha,QantasLink,2016,58,1779,1755,161,185
Perth-Karratha,Perth,Karratha,Virgin Australia,2016,2,171,172,5,4
Perth-Karratha,Perth,Karratha,Virgin Australia Regional Airlines,2016,16,683,632,64,115
Perth-Melbourne,Perth,Melbourne,Jetstar,2016,85,446,538,259,167
Perth-Melbourne,Perth,Melbourne,Qantas,2016,4,2039,2059,313,293
Perth-Melbourne,Perth,Melbourne,Tigerair Australia,2016,9,538,572,133,99
Perth-Melbourne,Perth,Melbourne,Virgin Australia,2016,3,1467,1464,206,209
Perth-Newman,Perth,Newman,Qantas,2016,3,816,811,39,44
Perth-Newman,Perth,Newman,QantasLink,2016,19,799,795,61,65
Perth-Newman,Perth,Newman,Virgin Australia,2016,1,188,189,8,7
Perth-Newman,Perth,Newman,Virgin Australia Regional Airlines,2016,1,238,234,21,25
Perth-Port Hedland,Perth,Port Hedland,Qantas,2016,4,649,655,34,28
Perth-Port Hedland,Perth,Port Hedland,QantasLink,2016,35,833,758,110,185
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia,2016,2,369,371,22,20
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia Regional Airlines,2016,0,213,205,11,19
Perth-Sydney,Perth,Sydney,Jetstar,2016,6,214,302,143,55
Perth-Sydney,Perth,Sydney,Qantas,2016,6,2070,2155,357,272
Perth-Sydney,Perth,Sydney,Tigerair Australia,2016,2,279,288,29,20
Perth-Sydney,Perth,Sydney,Virgin Australia,2016,4,1258,1303,165,120
Port Hedland-Perth,Port Hedland,Perth,Qantas,2016,7,635,640,47,42
Port Hedland-Perth,Port Hedland,Perth,QantasLink,2016,38,829,838,100,91
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia,2016,5,368,365,20,23
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia Regional Airlines,2016,0,203,193,21,31
Port Lincoln-Adelaide,Port Lincoln,Adelaide,QantasLink,2016,17,1166,1168,138,136
Port Lincoln-Adelaide,Port Lincoln,Adelaide,Regional Express,2016,28,2197,2146,213,264
Port Macquarie-Sydney,Port Macquarie,Sydney,QantasLink,2016,27,1110,1042,476,544
Port Macquarie-Sydney,Port Macquarie,Sydney,Virgin Australia,2016,12,581,577,129,133
Proserpine-Brisbane,Proserpine,Brisbane,Jetstar,2016,0,261,276,89,74
Proserpine-Brisbane,Proserpine,Brisbane,Virgin Australia,2016,1,392,398,47,41
Rockhampton-Brisbane,Rockhampton,Brisbane,QantasLink,2016,29,1900,1879,303,324
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia,2016,57,1962,1962,188,188
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Jetstar,2016,11,636,680,351,307
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,QantasLink,2016,0,6,6,3,3
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Virgin Australia,2016,4,352,364,119,107
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Jetstar,2016,28,738,818,482,402
Sunshine Coast-Sydney,Sunshine Coast,Sydney,QantasLink,2016,1,285,265,66,86
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Virgin Australia,2016,2,346,343,58,61
Sydney-Adelaide,Sydney,Adelaide,Jetstar,2016,30,870,904,411,377
Sydney-Adelaide,Sydney,Adelaide,Qantas,2016,14,2379,2340,332,371
Sydney-Adelaide,Sydney,Adelaide,QantasLink,2016,19,252,238,59,73
Sydney-Adelaide,Sydney,Adelaide,Tigerair Australia,2016,2,457,431,84,110
Sydney-Adelaide,Sydney,Adelaide,Virgin Australia,2016,15,1776,1691,196,281
Sydney-Albury,Sydney,Albury,QantasLink,2016,21,951,944,270,277
Sydney-Albury,Sydney,Albury,Regional Express,2016,4,1018,1000,153,171
Sydney-Albury,Sydney,Albury,Virgin Australia,2016,5,591,593,136,134
Sydney-Armidale,Sydney,Armidale,QantasLink,2016,26,1066,975,384,475
Sydney-Armidale,Sydney,Armidale,Regional Express,2016,4,717,708,141,150
Sydney-Ayers Rock,Sydney,Ayers Rock,Jetstar,2016,2,303,282,32,53
Sydney-Ayers Rock,Sydney,Ayers Rock,Virgin Australia,2016,2,327,298,37,66
Sydney-Ballina,Sydney,Ballina,Jetstar,2016,1,758,743,168,183
Sydney-Ballina,Sydney,Ballina,Regional Express,2016,0,257,261,32,28
Sydney-Ballina,Sydney,Ballina,Virgin Australia,2016,2,360,353,26,33
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2016,95,1440,1490,559,509
Sydney-Brisbane,Sydney,Brisbane,Qantas,2016,60,6330,6079,846,1097
Sydney-Brisbane,Sydney,Brisbane,Tigerair Australia,2016,17,1058,1001,141,198
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2016,187,5656,5474,730,912
Sydney-Cairns,Sydney,Cairns,Jetstar,2016,19,923,999,288,212
Sydney-Cairns,Sydney,Cairns,Qantas,2016,0,804,808,136,132
Sydney-Cairns,Sydney,Cairns,Tigerair Australia,2016,0,457,440,40,57
Sydney-Cairns,Sydney,Cairns,Virgin Australia,2016,0,956,957,131,130
Sydney-Canberra,Sydney,Canberra,Qantas,2016,1,54,52,5,7
Sydney-Canberra,Sydney,Canberra,QantasLink,2016,245,4248,4247,991,992
Sydney-Canberra,Sydney,Canberra,Virgin Australia,2016,145,2645,2667,510,488
Sydney-Coffs Harbour,Sydney,Coffs Harbour,QantasLink,2016,33,1390,1391,393,392
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Tigerair Australia,2016,1,147,144,10,13
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Virgin Australia,2016,8,636,641,69,64
